Strain	Antigenic advance (tree model)	Antigenic advance (sub model)	Clade	Country	Epitope mutations	Local branching index	Non-epitope mutations	ne_star	RBS adjacent mutations	Region	Submitting lab	Collection Data	Vaccine Selection Date	Accession	Originating lab
A/Brisbane/53/2009	2.79	3.08		Australia	11.00	0.00	6.00	1.00	2.00	Oceania	Other Database Import	2009-04-28		EPI609381	Queensland Health Scientific Services
A/Thailand/KS08309/2009	2.79	3.08		Thailand	12.00	0.00	7.00	2.00	3.00	Southeast Asia	Other Database Import	2009-10-29		EPI703140	
A/Thailand/CU-H1071/2009	2.79	3.08		Thailand	11.00	0.00	6.00		2.00	Southeast Asia	Other Database Import	2009-12-10		EPI285485	
A/SuratThani/116/2010	2.79	3.08		Thailand	14.00	0.00	6.00	2.00	2.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2010-02-09		EPI272019	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/Tak/527/2009	2.79	3.08		Thailand	11.00	0.00	6.00		2.00	Southeast Asia	Centers For Disease Control And Prevention	2009-10-12		EPI232608	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/Lao/S003/2010	2.79	3.08		Laos	11.00	0.00	6.00		2.00	Southeast Asia	National Institute Of Infectious Diseases (niid)	2010-01-11		EPI276937	Ministry Of Health Laos
A/Nagano-C/121/2009	2.79	3.08		Japan	11.00	0.00	6.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-10-29		EPI234599	Nagano City Health Center
A/SuratThani/269/2010	2.79	3.29		Thailand	11.00	0.00	8.00	4.00	2.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2010-03-23		EPI272025	Who National Influenza Centre, National Institute Of Medical Research (nimr)
A/Thailand/CU-H1285/2010	2.79	3.08		Thailand	11.00	0.00	7.00	1.00	2.00	Southeast Asia	Other Database Import	2010-01-21		EPI285493	
A/Thailand/CU-H1443/2010	2.79	3.08		Thailand	12.00	0.00	6.00		2.00	Southeast Asia	Other Database Import	2010-02-04		EPI285501	
A/Thailand/CU-H1817/2010	2.79	3.08		Thailand	11.00	0.00	6.00		2.00	Southeast Asia	Other Database Import	2010-03-25		EPI285509	
A/Victoria/210/2009	2.79	4.57		Australia	14.00	0.00	5.00	1.00	2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-06-02		EPI269899	Victorian Infectious Diseases Reference Laboratory
A/Grenoble/1144/2009	2.79	3.08		France	12.00	0.00	5.00		2.00	Europe	National Institute For Medical Research	2009-06-17		EPI210089	Crr Virus Influenza Region Sud
A/Lithuania/142K/2009	2.79	3.08		Lithuania	12.00	0.00	6.00		2.00	Europe	National Institute For Medical Research	2009-07-01 (2009-07-01 - 2009-07-28)		EPI214976	Lithuanian Aids Center Laboratory
A/Iran/755/2009	2.79	3.08		Iran	12.00	0.00	6.00		2.00	West Asia	National Institute For Medical Research	2009-06-30 (2009-06-07 - 2009-06-30)		EPI214974	Tehran University Of Medical Sciences
A/TianjinNankai/1687/2010	2.79	3.08		China	13.00	0.00	9.00		2.00	China	Centers For Disease Control And Prevention	2010-01-11		EPI270318	Who Chinese National Influenza Center
A/TianjinHexi/18/2010	2.79	3.08		China	13.00	0.00	10.00	1.00	2.00	China	Who Chinese National Influenza Center	2010-01-05		EPI293792	Who Chinese National Influenza Center
A/Singapore/534/2009	2.79	3.08		Singapore	12.00	0.00	8.00	2.00	2.00	Southeast Asia	Who Collaborating Centre For Reference And Research On Influenza	2009-11-05		EPI269940	Ministry Of Health, Singapore
A/TianjinHexi/1266/2010	2.79	3.08		China	13.00	0.00	7.00	1.00	3.00	China	Who Chinese National Influenza Center	2010-05-12		EPI293832	Who Chinese National Influenza Center
A/Tianjin-Nankai/1912/2010	2.79	3.08		China	13.00	0.00	7.00		2.00	China	Who Chinese National Influenza Center	2010-03-24		EPI293816	Who Chinese National Influenza Center
A/Beijing-Xicheng/11688/2011	2.79	3.84		China	16.00	0.00	7.00	2.00	2.00	China	Who Chinese National Influenza Center	2011-10-03		EPI347850	Who Chinese National Influenza Center
A/Taiwan/42/2010	2.79	3.08		Taiwan	14.00	0.00	8.00	1.00	2.00	China	Centers For Disease Control And Prevention	2010-05-02		EPI270353	Adimmune Corporation
A/TianjinNankai/1842/2010	2.79	3.08		China	12.00	0.00	7.00		2.00	China	Who Chinese National Influenza Center	2010-03-01		EPI293808	Who Chinese National Influenza Center
A/HongKong/1775/2010	2.79	3.08		Hong Kong	12.00	0.00	8.00	1.00	2.00	China	National Institute For Medical Research	2010-03-28		EPI287147	Government Virus Unit
A/Kyoto/10K473/2011	2.79	3.08		Japan	14.00	0.00	6.00		2.00	Japan Korea	Other Database Import	2011-03-04		EPI340498	
A/Vladivostok/11/2010	2.79	3.08		Russia	13.00	0.00	9.00	3.00	2.00	West Asia	Other Database Import	2010-11-30 (2010-11-05 - 2010-11-30)		EPI367621	
A/Niigata/10F004/2011	2.79	3.08		Japan	13.00	0.00	6.00		2.00	Japan Korea	Other Database Import	2011-01-14		EPI340487	
A/Belgrade/WRAIR2956T/2010	2.79	3.08		Serbia	13.00	0.00	6.00		2.00	Europe	Other Database Import	2010-10-26		EPI325825	
A/Stockholm/7/2010	2.79	3.08		Sweden	12.00	0.00	7.00	1.00	2.00	Europe	Swedish Institute For Infectious Disease Control	2010-11-12		EPI301371	
A/Stockholm/6/2010	2.79	3.08		Sweden	12.00	0.00	7.00	1.00	2.00	Europe	Swedish Institute For Infectious Disease Control	2010-09-29		EPI287156	
A/Guangdong-Zhongshan/5727/2010	2.79	3.08		China	12.00	0.00	7.00		2.00	China	National Institute Of Infectious Diseases (niid)	2010-09-02		EPI295369	Who Chinese National Influenza Center
A/Stockholm/4/2010	2.79	3.08		Sweden	12.00	0.00	7.00		2.00	Europe	Swedish Institute For Infectious Disease Control	2010-07-08		EPI279935	Swedish Institute For Infectious Disease Control
A/HongKong/3170/2010	2.79	3.08		Hong Kong	12.00	0.00	7.00	1.00	2.00	China	National Institute For Medical Research	2010-08-20		EPI287100	Government Virus Unit
A/Shimane/194/2011	2.79	3.84		Japan	14.00	0.00	7.00	3.00	2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-04-15		EPI328950	Shimane Prefectural Institute Of Public Health And Environmental Science
A/HongKong/6925/2010	2.79	3.08		Hong Kong	12.00	0.00	6.00		2.00	China	National Institute For Medical Research	2010-11-30		EPI302199	Government Virus Unit
A/Taiwan/1097/2011	2.79	3.08		Taiwan	15.00	0.00	6.00	3.00	2.00	China	National Institute Of Infectious Diseases (niid)	2011-02-07		EPI336888	Center For Disease Control
A/Niigata/1146/2010	2.79	3.08		Japan	12.00	0.00	6.00		2.00	Japan Korea	Other Database Import	2010-08-03		EPI298415	
A/Niigata/1148/2010	2.79	3.08		Japan	12.00	0.00	6.00		2.00	Japan Korea	Other Database Import	2010-08-03		EPI298417	
A/Hokkaido/10H015/2010	2.79	3.08		Japan	12.00	0.00	6.00		2.00	Japan Korea	Other Database Import	2010-12-22		EPI340525	
A/Yamaguchi/31/2010	2.79	3.08		Japan	12.00	0.00	6.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2010-09-14		EPI294021	Yamaguchi Prefectural Institute Of Public Health And Environment
A/Fukui/71/2011	2.79	3.08		Japan	13.00	0.00	6.00	1.00	2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2011-03-14		EPI323242	Fukui Prefectural Institute Of Public Health
A/Novosibirsk/1832/2011	2.79	3.08		Russia	12.00	0.00	6.00		2.00	West Asia	Other Database Import	2011-04-15		EPI342624	
A/Novosibirsk/1927/2011	2.79	3.08		Russia	13.00	0.00	7.00	1.00	2.00	West Asia	Other Database Import	2011-04-21		EPI342622	
A/Liaoning-Haizhou/1118/2011	2.79	3.08		China	12.00	0.00	6.00		2.00	China	Who Chinese National Influenza Center	2011-03-22		EPI330569	Who Chinese National Influenza Center
A/CaymanIslands/9266/2009	2.79	2.97		Cayman Islands	10.00	0.00	5.00	1.00	2.00	North America	Centers For Disease Control And Prevention	2009-10-22		EPI232523	Caribbean Epidemiology Center
A/Honduras/6065/2010	2.79	2.97		Honduras	11.00	0.00	5.00	1.00	2.00	North America	Centers For Disease Control And Prevention	2010-04-13		EPI274453	Laboratorio Nacional De Virologia
A/Acre/26954/2010	2.79	2.97		Brazil	11.00	0.00	7.00	1.00	2.00	South America	Other Database Import	2010-04-04		EPI271537	
A/Acre/15093/2010	2.79	2.97		Brazil	11.00	0.00	7.00	1.00	2.00	South America	Other Database Import	2010-03-03		EPI271536	
A/Brazil/610/2010	2.79	2.97		Brazil	11.00	0.00	7.00	2.00	1.00	South America	Centers For Disease Control And Prevention	2010-05-24		EPI279999	Oswaldo Cruz Institute Fiocruz Laboratory Of Respiratory Viruses And Measles (lvrs)
A/Argentina/27724/2010	2.79	2.97		Argentina	11.00	0.00	7.00	1.00	2.00	South America	National Institute For Medical Research	2010-08-23		EPI301340	Instituto Nacional De Enfermedades Infecciosas
A/NewYork/5/2010	2.79	2.97		USA	11.00	0.00	6.00		2.00	North America	Centers For Disease Control And Prevention	2010-03-25		EPI270303	New York City Department Of Health
A/Australia/55/2009	2.86	3.32		Australia	11.00	0.00	5.00		2.00	Oceania	Other Database Import	2009-07-30		EPI305650	
A/Gyeonggi/185/2009	2.86	2.97		South Korea	10.00	0.00	5.00		2.00	Japan Korea	Other Database Import	2009-03-16		EPI393817	
A/Perth/16/2009	2.86	2.97		Australia	11.00	0.00	5.00	1.00	2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-04-07	2009-09-25	EPI182941	Pathwest Qe Ii Medical Centre
A/Lao/256/2009	2.86	2.97		Laos	11.00	0.00	6.00		2.00	Southeast Asia	Centers For Disease Control And Prevention	2009-12-24		EPI249989	National Center For Laboratory And Epidemiology
A/Gyeonggi/3079/2009	2.86	2.97		South Korea	11.00	0.00	6.00	1.00	2.00	Japan Korea	Other Database Import	2009-08-28		EPI393818	
A/Taiwan/F1965/2009	2.86	2.97		Taiwan	10.00	0.00	6.00		2.00	China	Other Database Import	2009-05-31		EPI259474	
A/Lao/82/2010	2.86	2.97		Laos	12.00	0.00	6.00	1.00	2.00	Southeast Asia	Centers For Disease Control And Prevention	2010-01-28		EPI249996	National Center For Laboratory And Epidemiology
A/Morobe/10/2009	2.86	2.97		Papua New Guinea	10.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-08-27		EPI210292	Central Public Health Laboratory
A/Morobe/2/2009	2.86	2.97		Papua New Guinea	11.00	0.00	5.00	1.00	2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-08-27		EPI210291	Central Public Health Laboratory
A/HongKong/1985/2009	2.86	2.97		Hong Kong	10.00	0.00	5.00		2.00	China	National Institute For Medical Research	2009-04-04		EPI211541	Government Virus Unit
A/Yamaguchi/24/2009	2.86	2.97		Japan	11.00	0.00	5.00	1.00	2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-07-01		EPI210945	
A/CostaRica/5023/2009	2.86	2.97		Costa Rica	10.00	0.00	5.00		2.00	North America	Centers For Disease Control And Prevention	2009-07-24		EPI232481	Laboratorio Nacional De Influenza
A/Shanghai-Fengxian/1388/2011	2.86	2.97		China	11.00	0.00	5.00	1.00	2.00	China	Who Chinese National Influenza Center	2011-10-11		EPI347909	Who Chinese National Influenza Center
A/Shanghai-Baoshan/1607/2010	2.86	2.97		China	10.00	0.00	5.00		2.00	China	National Institute Of Infectious Diseases (niid)	2010-10-07		EPI305455	Who Chinese National Influenza Center
A/Vietnam/210/2009	2.86	2.97		Vietnam	11.00	0.00	5.00	1.00	2.00	Southeast Asia	Centers For Disease Control And Prevention	2009-06-02		EPI232508	National Institute Of Hygiene And Epidemiology
A/Bhutan/151/2009	2.86	2.97		Bhutan	10.00	0.00	6.00	1.00	2.00	South Asia	Centers For Disease Control And Prevention	2009-06-16		EPI232511	Thailand Moph U.s. Cdc Collaboration (ieip)
A/Guam/2/2009	2.79	2.97		Guam	11.00	0.00	5.00		2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-05-11		EPI211735	Yap State Hospital
A/Quebec/RV1069/2009	2.79	2.97		Canada	11.00	0.00	5.00		2.00	North America	Centers For Disease Control And Prevention	2009-03-03		EPI185715	National Microbiology Laboratory, Health Canada
A/Utsunomiya/3/2009	2.79	2.97		Japan	11.00	0.00	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-07-03		EPI210943	Utsunomiya City Institute Of Public Health And Environment Science
A/Thailand/1/2009	2.79	2.97		Thailand	12.00	0.00	9.00	2.00	2.00	Southeast Asia	Centers For Disease Control And Prevention	2009-08-25		EPI232614	Thailand Moph U.s. Cdc Collaboration (ieip)
A/Shizuoka/791/2009	2.79	2.97		Japan	12.00	0.00	7.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-06-14		EPI187688	
A/HongKong/H090-763-V23/2009	2.79	2.97		Hong Kong	11.00	0.00	5.00		2.00	China	Other Database Import	2009-08-03		EPI368208	
A/HongKong/33219/2009	2.79	2.97		Hong Kong	12.00	0.00	6.00	2.00	2.00	China	Centers For Disease Control And Prevention	2009-10-12		EPI241153	Government Virus Unit
A/HongKong/1952/2009	2.79	2.97		Hong Kong	11.00	0.00	5.00		2.00	China	National Institute For Medical Research	2009-03-24		EPI211537	Government Virus Unit
A/Perth/673/2009	2.79	2.97		Australia	13.00	0.00	8.00	2.00	2.00	Oceania	Who Collaborating Centre For Reference And Research On Influenza	2009-11-04		EPI269927	Pathwest Qe Ii Medical Centre
A/HongKong/26560/2009	2.79	2.97		Hong Kong	12.00	0.00	7.00		2.00	China	Centers For Disease Control And Prevention	2009-09-18		EPI232541	Government Virus Unit
A/Beijing-Huairou/11088/2009	2.79	2.97		China	11.00	0.00	7.00	2.00	2.00	China	Centers For Disease Control And Prevention	2009-11-25		EPI243597	Who Chinese National Influenza Center
A/HongKong/H090-689-V2/2009	2.79	2.97		Hong Kong	11.00	0.00	5.00		2.00	China	Other Database Import	2009-12-07		EPI326552	
A/HongKong/H090-727-V10/2009	2.79	2.97		Hong Kong	11.00	0.00	5.00		2.00	China	Other Database Import	2009-07-21		EPI351956	
A/HongKong/H090-692-V1/2009	3.03	2.97		Hong Kong	11.00	0.00	5.00		2.00	China	Other Database Import	2009-10-07		EPI326550	
A/Umea/4/2009	3.03	2.97		Sweden	11.00	0.00	6.00	1.00	2.00	Europe	Swedish Institute For Infectious Disease Control	2009-09-02		EPI238699	Swedish Institute For Infectious Disease Control
A/Beijing-Zhaoyang/141/2010	3.03	2.97		China	14.00	0.00	6.00	4.00	2.00	China	Who Chinese National Influenza Center	2010-01-06		EPI293800	Who Chinese National Influenza Center
A/Yamaguchi/25/2009	3.03	2.97		Japan	11.00	0.00	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-07-02		EPI210947	
A/Singapore/H2009679/2009	3.03	2.97		Singapore	11.00	0.00	6.00		2.00	Southeast Asia	Other Database Import	2009-09-05		EPI457968	
A/Singapore/GP3861/2009	3.03	2.97		Singapore	11.00	0.00	6.00		2.00	Southeast Asia	Other Database Import	2009-09-28		EPI339451	
A/HongKong/34430/2009	3.03	2.97		Hong Kong	11.00	0.00	5.00		2.00	China	National Institute For Medical Research	2009-11-22		EPI232964	Government Virus Unit
A/Oklahoma/9/2009	3.03	2.97		USA	11.00	0.00	5.00		2.00	North America	Centers For Disease Control And Prevention	2009-08-25		EPI241637	Oklahoma State Department Of Health
A/JiangxiLianhua/51/2009	2.79	2.97		China	11.00	0.00	8.00	3.00	2.00	China	Other Database Import	2009-12-31		EPI615154	
A/NewYork/3750/2009	2.79	2.97		USA	12.00	0.00	5.00		2.00	North America	Other Database Import	2009-05-21		EPI315633	
A/Scotland/5/2009	2.79	2.97		United Kingdom	12.00	0.00	5.00		2.00	Europe	National Institute For Medical Research	2009-07-01		EPI210094	Health Protection Agency
A/DominicanRepublic/3743/2009	2.79	3.40		Dominican Republic	12.00	0.00	7.00	1.00	2.00	North America	Centers For Disease Control And Prevention	2009-12-04		EPI254592	Laboratorio De Investigacion / Centro De Educacion Medica Y Amistad Dominico Japones (cemadoja)
A/England/4820166/2010	2.79	2.97		United Kingdom	14.00	0.00	7.00		2.00	Europe	National Institute For Medical Research	2010-11-26		EPI301362	Health Protection Agency
A/PeloponneseGR/4043/2010	2.79	2.97		Greece	14.00	0.00	7.00		2.00	Europe	Hellenic Pasteur Institute	2010-10-11		EPI755704	Hellenic Pasteur Institute
A/Philippines/2191/2009	2.88	2.97		Philippines	11.00	0.00	5.00		2.00	Southeast Asia	Centers For Disease Control And Prevention	2009-05-26		EPI233020	Thailand Moph U.s. Cdc Collaboration (ieip)
A/Dakar/2/2009	2.88	2.97		Senegal	11.00	0.00	5.00		2.00	Africa	National Institute For Medical Research	2009-06-03		EPI214956	Institut Pasteur De Dakar
A/Dakar/1/2009	2.88	2.97		Senegal	11.00	0.00	5.00		2.00	Africa	National Institute For Medical Research	2009-05-20		EPI214954	Institut Pasteur De Dakar
A/Wisconsin/15/2009	2.88	2.97		USA	11.00	0.00	6.00	1.00	2.00	North America	Centers For Disease Control And Prevention	2009-06-07		EPI211311	Wisconsin State Laboratory Of Hygiene
A/Oregon/36/2009	2.88	2.97		USA	12.00	0.00	5.00		2.00	North America	Centers For Disease Control And Prevention	2009-10-19		EPI232591	Oregon Public Health Laboratory
A/Mexico/5270/2009	2.88	2.97		Mexico	12.00	0.00	6.00	1.00	2.00	North America	Centers For Disease Control And Prevention	2009-09-15		EPI243566	Laboratorio De Virus Respiratorio
A/Kawasaki/153/2009	2.88	2.97		Japan	11.00	0.00	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-10-01		EPI239688	Kawasaki City Institute Of Public Health
A/Aichi/689/2009	2.88	2.97		Japan	11.00	0.00	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-09-14		EPI230126	
A/Macedonia/622/2009	2.88	2.97		Macedonia	11.00	0.00	5.00		2.00	Europe	National Institute For Medical Research	2009-06-01		EPI210073	Republic Institute For Health Protection
A/Okinawa/38/2009	2.88	2.97		Japan	11.00	0.00	5.00		2.00	Japan Korea	National Institute Of Infectious Diseases (niid)	2009-05-22		EPI187684	
A/Bangladesh/3017/2008	2.48	0.77		Bangladesh	6.00	0.02	6.00	1.00		South Asia	Centers For Disease Control And Prevention	2008-07-10		EPI185699	
A/Sweden/3/2008	2.48	0.77		Sweden	6.00	0.01	7.00	2.00		Europe	Swedish Institute For Infectious Disease Control	2008-10-16		EPI244736	Swedish Institute For Infectious Disease Control
A/Stockholm/20/2008	2.48	0.77		Sweden	6.00	0.01	5.00			Europe	Swedish Institute For Infectious Disease Control	2008-09-26		EPI245721	Swedish Institute For Infectious Disease Control
A/Stockholm/26/2008	2.48	1.20		Sweden	5.00	0.01	5.00	1.00		Europe	Swedish Institute For Infectious Disease Control	2008-11-13		EPI245703	Swedish Institute For Infectious Disease Control
A/Taiwan/426/2009	2.48	0.77		Taiwan	8.00	0.00	5.00	1.00		China	Other Database Import	2009-02-20		EPI444774	
A/Taiwan/599/2008	2.48	0.77		Taiwan	6.00	0.01	5.00			China	National Institute Of Infectious Diseases (niid)	2008-11-14		EPI169743	
A/Taiwan/5780/2008	2.48	0.77		Taiwan	6.00	0.00	5.00			China	Other Database Import	2008-12-09		EPI259452	
A/Wellington/31/2008	2.48	0.77		New Zealand	6.00	0.02	5.00			Oceania	Centers For Disease Control And Prevention	2008-07-10		EPI168607	
A/Waikato/16/2008	2.48	0.77		New Zealand	6.00	0.03	5.00			Oceania	Centers For Disease Control And Prevention	2008-06-12		EPI168599	
A/Wellington/40/2008	2.48	0.77		New Zealand	6.00	0.02	5.00			Oceania	Centers For Disease Control And Prevention	2008-07-04		EPI168605	
A/Brisbane/24/2008	2.48	0.77		Australia	6.00	0.03	5.00			Oceania	Who Collaborating Centre For Reference And Research On Influenza	2008-06-24		EPI161695	Queensland Health Scientific Services
A/Shimane/91/2008	2.48	0.77		Japan	7.00	0.03	5.00	1.00		Japan Korea	National Institute Of Infectious Diseases (niid)	2008-06-03		EPI160600	
A/Iraq/WRAIR1244P/2009	2.48	0.77		Iraq	6.00	0.00	6.00	1.00		West Asia	Other Database Import	2009-02-01		EPI325697	
A/Yokohama/94/2008	2.48	0.77		Japan	7.00	0.01	5.00			Japan Korea	National Institute Of Infectious Diseases (niid)	2008-08-29		EPI169116	
A/Yokohama/93/2008	2.48	0.77		Japan	7.00	0.01	5.00			Japan Korea	National Institute Of Infectious Diseases (niid)	2008-08-29		EPI169115	
A/Japan/WRAIR1059P/2008	2.48	0.77		Japan	6.00	0.05	5.00			Japan Korea	Other Database Import	2008-05-12		EPI275486	
A/Guam/7124/2008	2.48	0.77		Guam	6.00	0.01	6.00	1.00		Oceania	Centers For Disease Control And Prevention	2008-10-28		EPI172442	
A/Washington/9/2008	2.48	0.77		USA	6.00	0.00	7.00	2.00		North America	Centers For Disease Control And Prevention	2008-12-09		EPI172418	
A/Massachusetts/6/2008	2.48	0.77		USA	6.00	0.01	6.00	1.00		North America	Centers For Disease Control And Prevention	2008-10-30		EPI172416	
A/Netherlands/177/2008	2.48	0.77		Netherlands	6.00	0.15	5.00			Europe	Erasmus Medical Center	2008-02-19		EPI541896	
A/Honduras/2426/2009	2.48	0.77		Honduras	6.00	0.00	6.00	1.00		North America	Centers For Disease Control And Prevention	2009-07-13		EPI211349	Laboratorio Nacional De Virologia
